explanation,situation,answer,wrong1,wrong2,hint,similar1,similar2,similar3
새로운 취미를 시작한 상황,"""새로운 취미를 시작했어!""","""새로 시작한 취미는 어떤 거야?""","""그거 재미없지 않아?""","""그걸 굳이 취미로 해야 해?""",새로운 취미를 시작하는 것은 흥미롭고 즐거운 일이야. 형이 느끼는 감정은 기대와 즐거움이야. 따라서 그 즐거움을 함께 나누고 공감하는 말이 좋아.,"""형이랑 잘 어울리는 취미다!""","""해보니깐 어때? 재밌어?""","""새로운 취미를 시작해서 정말 신나겠다!"""
동아리 회장이 된 상황,"""동아리 회장이 됐어!""","""동아리 회장이 되다니 정말 축하해!""","""그거 아무나 하는 거 아니야?""","""다른 사람들도 다 회장 하고 싶었을 텐데""",동아리 회장이 되는 것은 많은 노력과 리더십이 필요해. 형이 느끼는 감정은 자부심과 기쁨이야. 따라서 형의 성과를 칭찬하고 격려하는 말이 좋아.,"""정말 멋져! 자랑스러워!""","""회장이라니 대단하다!""","""평소에 활동을 열심히 했나봐!"""
직접 요리한 상황,"""집에서 직접 요리를 해서 먹었어!""","""직접 요리를 하다니 정말 대단해!""","""형 요리 못하잖아""","""그냥 사먹지 왜 했어?""",집에서 요리를 하는 것은 많은 노력과 실력이 필요해. 형이 느끼는 감정은 자부심과 기쁨이야. 따라서 형의 성과를 칭찬하고 격려하는 말이 좋아.,"""난 요리 어렵던데 멋있다!""","""나도 나중에 한번 먹어보고 싶다!""","""형은 정말 못하는 게 없구나!"""
시험에서 떨어진 상황,"""나 시험에서 떨어졌어.""","""시험에 떨어져서 많이 아쉽겠다.”",“공부를 더 열심히 하지 그랬어”,"""중요한 시험도 아니잖아”",시험을 위해 열심히 노력했지만 떨어져서 속상할 거야. 형이 느끼는 감정은 슬픔과 아쉬움이야.  형의 노력에 대해 공감해주고 위로해주는 말이 좋아,"""시험 떨어져서 많이 아쉽겠다”","""다음에는 더 잘 할 수 있을 거야”","""도전한 것만으로도 대단한거지!”"
어머니가 병원에 입원한 상황,"""우리 어머니가 병원에 입원했어.""","“너무 걱정하지마, 금방 나으실거야”","""엄살 아니야?”","""별로 큰일 아닌 것 같은데?.”",형의 걱정을 가볍게 여기는 것은 적절하지 않아. 가족의 건강 문제는 민감한 주제이기 때문에 공감이 필요해. 형이 걱정하는 상황에 대해 공감해주는 말을 해주는 것이 좋아.,"""별 일 없을 거야.""","""아파서 많이 속상하겠다.”","“괜찮아, 건강해지실 거야”"
강아지를 잃어버린 상황,"""강아지를 잃어버렸어.""",“정말 속상하겠다”,“다른 강아지 키우면 되잖아”,“어디 잘 살아있겠지”,강아지를 잃어버려서 많이 놀랬을 거야. 형은 지금 불안과 슬픔을 느끼고 있어. 형이 느끼는 불안과 슬픔을 공감해주는 말이 좋아.,"""내가 찾는 거 도와줄게""","""마음이 많이 아프겠다.""",“금방 찾을 수 있을거야.”
지갑을 잃어버린 상황,"""지갑을 잃어버렸는데 못 찾았어.""","“괜찮아, 금방 찾을 수 있을 거야.”",“칠칠맞게 왜 잃어버렸어.”,"""새로 사면 되잖아”",형을 비난하면 상처가 될 수 있어. 지갑을 잃어버려서 불안해하는 형에게 위로가 필요해. 형을 격려하고 긍정적인 말을 해주는 것이 좋아,"""정말 속상하겠다.""",“어디서 잃어 버렸어?”,“내가 같이 찾아줄게!”
교통사고를 당한 상황,"""어제 길 가다가 차에 치였어.""","""정말 많이 놀랐겠다. 다친 곳은 없어?""","""조심 좀 하지 그랬어.""","""보험 처리하면 되잖아.""",형의 공포와 불안을 무시하는 것은 적절하지 않아. 사고 후의 충격과 공포를 이해하고 위로하는 것이 중요해. 감정을 공감하고 격려하는 말을 해주는 것이 좋아.,"""지금은 괜찮아?""","""큰일 날 뻔했네. 병원에는 갔어?""","""많이 놀랐겠어. 다친 데는 없어?"""
물건을 도난당한 상황,"""누군가 물건을 훔쳐갔어!""","""도둑맞았다니 정말 화나겠다.""","""형이 잘못 둔 거 아니야?""","""다른 거 사면 되잖아.""",누군가 물건을 훔쳐가면 너무 화가 날 거야. 형이 느끼는 감정은 분노와 상실감이야. 물건을 잃어버린 상황에 공감하고 위로하는 말이 좋아.,"""경찰에 신고했어?""","""다치지는 않아서 다행이야.""","""도둑이라니 큰일 날 뻔했네."""
낯선 사람이 소리지른 상황,"""길에서 낯선 사람이 나한테 소리를 질렀어.""","""정말 놀랐겠다. 무섭진 않았어?""","""형이 신경쓰이게 한 거 아니야?""","""그 사람도 이유가 있겠지.""",모르는 사람이 소리지르는 건 너무 당황스러운 상황이야. 형이 느끼는 감정은 놀람과 두려움이야. 소리를 지른 상황에 공감하고 위로하는 말이 좋아.,"""그런 일 당해서 정말 놀랐겠다.""","""무서웠겠다. 괜찮아?""","""도대체 형한테 왜 그런 거야?"""
버스를 놓친 상황,"""오늘 아침에 버스를 놓쳤어!""","""아침부터 고생했네, 다음에는 잘 맞출 수 있을 거야.""","""형이 늦게 일어나서 그런 거 아니야?""","""그러니깐 일찍 일어났어야지.""",아침부터 버스를 놓치는 건 스트레스를 주는 일이야. 형이 느끼는 감정은 슬픔과 후회야. 형의 상황에 공감하고 위로해주는 말이 좋아.,"""운이 조금 안 좋았네.""","""아침부터 안 좋은 일이 있었구나.""","""그래도 늦지 않아서 다행이야."""
