explanation,situation,answer,wrong1,wrong2,hint,similar1,similar2,similar3
어머니가 병원에 입원한 상황,"""우리 어머니가 병원에 입원하셨어.""","“너무 걱정하지마세요, 금방 나으실거에요”","""엄살 아니에요?”","""별로 큰일 아닌 것 같은데요?.”",상대방의 걱정을 가볍게 여기는 것은 적절하지 않아요. 가족의 건강 문제는 민감한 주제이기 때문에 공감이 필요해요. 상대방이 걱정하는 상황에 대해 공감해주는 말을 해주는 것이 좋아요.,"""별 일 없으실 거에요.""","""아프셔서 많이 속상하시겠어요.”","“괜찮아요, 건강해지실 거예요.”"
강아지를 잃어버린 상황,"""강아지를 잃어버렸어.""",“정말 속상하시겠어요.”,“다른 강아지 키우면 되잖아요.”,“어디 잘 살아있겠지”,강아지를 잃어버려서 많이 놀랬을 거에요. 상대방은 지금 불안과 슬픔을 느끼고 있어요. 상대방이 느끼는 불안과 슬픔을 공감해주는 말이 좋아요.,"""제가 찾는 거 도와드릴게요.""","""마음이 많이 아프겠어요.""",“금방 찾을 수 있을 거예요.”
지갑을 잃어버린 상황,"""지갑을 잃어버렸는데 못 찾았어.""","“괜찮아요, 금방 찾을 수 있을 거예요.”",“칠칠맞게 왜 잃어버렸어요.”,"""새로 사세요.”",상대방을 비난하면 상처가 될 수 있어요. 지갑을 잃어버려서 불안해하는 상대방에게 위로가 필요해요. 상대방을 격려하고 긍정적인 말을 해주는 것이 좋아요.,"""정말 속상하시겠어요.""","“어디서 잃어버리셨어요?""",“ 제가 같이 찾아드릴게요.”
교통사고를 당한 상황,"""길 가다가 교통사고를 당했어.""","""정말 많이 놀라셨겠어요, 다친 곳은 없으세요?""","""조심 좀 하지 그랬어요.""","""보험 처리하면 되잖아요.""",상대방의 공포와 불안을 무시하는 것은 적절하지 않아요. 사고 후의 충격과 공포를 이해하고 위로하는 것이 중요해요. 감정을 공감하고 격려하는 말을 해주는 것이 좋아요.,"""지금은 괜찮으세요?""","""큰일 날 뻔했네요. 병원에는 가셨어요?""","""많이 놀라셨겠어요. 다친 데는 없으세요?"""
건강검진에서 안 좋은 결과가 나온 상황,"""건강검진에서 안 좋은 결과가 나왔어.""","""많이 걱정되시겠어요. 어떤 도움이 필요하세요?""","""다들 한 번쯤은 그런 결과가 나와요.""","""괜찮겠죠, 대수롭지 않게 생각하세요.""",건강검진에서 안 좋은 결과가 나오면 많이 불안하고 속상할 수 있어요. 상대방이 느끼는 감정은 불안과 슬픔이에요. 따라서 상대방의 감정을 이해하고 위로하는 말이 좋아요.,"""정말 안타깝네요.""","""시간이 지나면 나아질 거예요.""","""괜찮을 거예요, 너무 걱정하지 마세요."""
물건을 도난당한 상황,"""누군가 물건을 훔쳐갔어!""","""도둑맞았다니 정말 화나시겠어요.""","""당신이 잘못 둔 거 아니에요?""","""다른 거 사면 되잖아요.""",누군가 물건을 훔쳐가면 너무 화가 날 거예요. 상대방이 느끼는 감정은 분노와 상실감이에요. 물건을 잃어버린 상황에 공감하고 위로하는 말이 좋아요.,"""경찰에 신고하셨어요?""","""다치지는 않아서 다행이네요.""","""도둑이라니 큰일 날 뻔했네요."""
낯선 사람이 소리지른 상황,"""길에서 낯선 사람이 나한테 소리를 질렀어.""","""정말 놀라셨겠어요. 무섭진 않으셨어요?""","""당신이 신경 쓰이게 한 거 아니에요?""","""그 사람도 이유가 있겠죠.""",모르는 사람이 소리지르는 건 너무 당황스러운 상황이에요. 상대방이 느끼는 감정은 놀람과 두려움이에요. 소리를 지른 상황에 공감하고 위로하는 말이 좋아요.,"""그런 일 당해서 정말 놀라셨겠어요.""","""무서우셨겠어요. 괜찮아요?""","""도대체 당신한테 왜 그런 거예요?"""
버스를 놓친 상황,"""오늘 아침에 버스를 놓쳤어!""","""아침부터 고생하셨네요, 다음에는 안 놓칠 수 있을 거예요.""","""당신이 늦게 일어나서 그런 거 아니에요?""","""그러니까 일찍 일어나셨어야죠.""",아침부터 버스를 놓치는 건 스트레스를 주는 일이에요. 상대방이 느끼는 감정은 슬픔과 후회에요. 상대방의 상황에 공감하고 위로해주는 말이 좋아요.,"""운이 조금 안 좋았네요.""","""아침부터 안 좋은 일이 있었군요.""","""그래도 늦지 않아서 다행이에요."""
회사에서 승진한 상황,"""회사에서 승진했어!""","""승진하다니 정말 축하해요!""","""시간 지나니깐 한 거 아니에요?""","""다른 사람들도 다 승진해요.""",승진은 직장에서의 노력과 성취를 인정받는 일이야. 친구가 느끼는 감정은 자부심과 기쁨이야. 따라서 친구의 성취를 축하하고 격려하는 말이 좋아.,"""역시 뭐든 잘하는 사람은 다르네요!""","""벌써 승진이라니 대단해요!""","""진짜 열심히 일하셨나봐요!"""
새로운 직장을 구한 상황,"""새로운 직장을 구했어!""","""새 직장을 구하다니 정말 축하해요""","""이제서야 직장을 구한 거에요?""","""그 직장 별로인 거 같은데요.""",새로운 직장을 구하는 것은 큰 성취와 기대를 가져올 수 있어. 친구가 느끼는 감정은 기쁨과 기대감이야. 따라서 그 성취를 축하하고 공감하는 말이 좋아.,"""그 직장을 들어가다니 멋있어요!""","""벌써 다시 직장을 구하다니 굉장해요!""","""정말 열심히 준비하셨나봐요!"""
