"""방금 좋아하는 사람한테 고백했어!""","""고백을 하다니 정말 용기 있다!""","""그 사람도 너를 좋아하긴 해?""","""안 어울리는데 왜 고백했어?""",좋아하는 사람에게 고백하는 건 큰 용기가 필요한 일이야. 친구가 느끼는 감정은 설렘과 두려움이야. 따라서 친구의 용기를 칭찬하고 응원하는 말이 좋아.,"""정말 용기있다. 대단해!""","""잘 될 거야, 응원해!""","""그 사람도 같은 마음이면 좋겠다!""",,,,,,,,,,,,,,,,,,,
"""내가 좋아하는 가수 콘서트에 갔어!""","""좋아하는 가수 노래를 직접 들어서 좋았겠다!""","""집에서 유튜브로 보면 안돼?""","""어차피 똑같이 스피커 통해서 듣는 거 아니야?""",좋아하는 가수의 콘서트는 큰 즐거움을 줄 수 있어. 친구가 느끼는 감정은 행복과 흥분이야. 따라서 그 즐거움을 함께 나누고 공감하는 말이 좋아.,"""우와 나도 가보고 싶다!""","""너가 평소에 말하던 그 가수 아니야?""","""콘서트 분위기 어땠어?""",,,,,,,,,,,,,,,,,,,
"""새로운 취미를 시작했어!""","""새로 시작한 취미는 어떤 거야?""","""그거 재미없지 않아?""","""그걸 굳이 취미로 해야 해?""",새로운 취미를 시작하는 것은 흥미롭고 즐거운 일이야. 친구가 느끼는 감정은 기대와 즐거움이야. 따라서 그 즐거움을 함께 나누고 공감하는 말이 좋아.,"""너랑 잘 어울리는 취미다!""","""해보니깐 어때? 재밌어?""","""새 취미를 시작해서 정말 신나겠다!""",,,,,,,,,,,,,,,,,,,
"""동아리 회장이 됐어!""","""동아리 회장이 되다니 정말 축하해!""","""그거 아무나 하는 거 아니야?""","""다른 사람들도 다 회장 하고 싶었을 텐데""",동아리 회장이 되는 것은 많은 노력과 리더십이 필요해. 친구가 느끼는 감정은 자부심과 기쁨이야. 따라서 친구의 성과를 칭찬하고 격려하는 말이 좋아.,"""정말 멋져! 자랑스러워!""","""회장이라니 대단하다!""","""평소에 활동을 열심히 했나봐!""",,,,,,,,,,,,,,,,,,,
"""집에서 직접 요리를 해서 먹었어!""","""너가 직접 요리를 하다니 정말 대단해!""","""너 요리 못하잖아""","""그냥 사먹지 왜 했어?""",집에서 맛있는 요리를 하는 것은 많은 노력과 실력이 필요해. 친구가 느끼는 감정은 자부심과 기쁨이야. 따라서 친구의 성과를 칭찬하고 격려하는 말이 좋아.,"""난 요리 어렵던데 멋있다!""","""나도 나중에 한번 먹어보고 싶다!""","""너는 정말 못하는 게 없구나!""",,,,,,,,,,,,,,,,,,,
"""나 발표 진짜 잘하지 않았어?!""","""너 진짜 말 잘하더라 멋있었어!""","""말하는 거 잘 들리지도 않더라”","""지금 이게 잘했다고 생각해?""",발표를 잘한다는 건 많은 연습과 노력이 필요해. 친구가 느끼는 감정은 성취감과 자부심이야. 따라서 그 성취를 칭찬하고 격려하는 말이 좋아.,"""발표도 잘하다니 대단하다!""","""어떻게 떨지도 않고 발표를 잘해?""","""언제부터 연습한 거야? 대단하다!!""",,,,,,,,,,,,,,,,,,,
"""나 시험에서 떨어졌어.""","“속상하겠다, 다음 시험 더 잘 준비해보자”",“공부를 더 열심히 하지 그랬어”,"""별로 중요한 시험도 아니잖아”",친구는 지금 매우 속상한 기분일거야. 시험을 위해 열심히 노력했을거야. 친구의 노력에 대해 공감해주고 위로해주는 말이 좋아,"""시험 떨어져서 많이 아쉽겠다”","""다음에는 더 잘 할 수 있을 거야”","""도전한 것만으로도 대단한거지!”",,,,,,,,,,,,,,,,,,,
"""내가 발표를 너무 못한 것 같아 미안해.""","""괜찮아, 다음에는 더 잘 할 거야”",“이미 망쳐놓고 실망해서 뭐해”,“너 발표를 누가 듣기나 했겠어?”,친구는 발표에 만족스럽지 못해 속상한 기분일거야. 발표를 준비하기 위해 많이 연습했을거야.  충분히 잘했다고 칭찬하고 위로해주는 말이 좋아,"""발표 충분히 잘했어, 너무 걱정하지마”","“고생했어, 전달력 너무 좋던데?”",“나는 긴장돼서 아예 나가지도 못해. ”,,,,,,,,,,,,,,,,,,,
"""친구들이 나만 괴롭히는 것 같아.""","""괜찮아, 시간 지나면 나아질 거야”",“우는 거 보니까 너가 졌구나?”,“뭘 그런거로 울고 있냐?”,"친구의 감정을 무시하는 것은 더 큰 상처를 줄 수 있어, 괴롭힘 때문에 상처받고 있는 친구에게 공감이 필요해, 위로와 격려가 되는 말을 해줘.",“싸워서 속상하겠다”,"“괜찮아?, 마음이 많이 아프겠다.”","""다친 데는 없어? 병원 같이 가지 않을래?""",,,,,,,,,,,,,,,,,,,
"""우리 엄마 병원에 입원했어.""","""정말 걱정되겠다”","""다들 그렇게 아프곤 해, 금방 낫겠지 뭐.”","""별로 큰일 아닌 것 같은데?.”",상대방의 걱정을 가볍게 여기는 것은 적절하지 않아. 가족의 건강 문제는 민감한 주제이기 때문에 공감이 필요해. 상대방이 걱정하는 상황에 대해 공감해주는 말을 해주는 것이 좋아.,"“너무 걱정하지마, 금방 나으실거야”","""아파서 많이 속상하겠다.”","“괜찮아, 건강해지실 거야”",,,,,,,,,,,,,,,,,,,
"""강아지를 잃어버렸어.""",“정말 속상하시겠어요”,“그냥 다른 강아지 키우면 되잖아요”,"“뭐, 금방 찾으면 되죠”",강아지를 잃어버려 불안하고 슬플거야. 강아지를 잃어버린 상대방의 상황을 인지해야돼. 상대방이 느끼는 불안과 슬픔을 공감해주는 말이 좋아.,"""제가 찾는 거 도와드릴게요""","""마음이 많이 아프겠어요.""",“금방 찾을 수 있을거에요”,,,,,,,,,,,,,,,,,,,
"""나 지갑을 잃어버렸는데 못 찾았어.""","“괜찮아, 금방 찾을 수 있을 거야.”",“칠칠맞게 왜 잃어버렸어.”,"""새로 사”",상대방을 비난하면 상처가 될 수 있어. 지갑을 잃어버려서 불안해하는 상대방에게 위로가 필요해. 상대방을 격려하고 긍정적인 말을 해주는 것이 좋아,"""정말 속상하겠어요.""",“어디서 잃어 버렸어? 내가 같이 찾아줄게”,"“속상하겠다, 울지마.”",,,,,,,,,,,,,,,,,,,
"""친구랑 싸웠어. 내가 약속을 잊었거든. 어떻게 하면 좋을까?""",“진심으로 사과하면서 작은 선물 하나 주는 게 어때?”,"""별로 중요한 약속도 아니잖아""",“뭐 이런거로 싸워?”,친구의 고민을 가볍게 여기는 것은 적절하지 않아. 약속을 잊어서 친구와 싸운 상황에서는 진심 어린 사과가 필요해. 상대방의 감정을 이해하고 해결책을 제시하는 답을 생각해봐.,"""약속 못 지켜서 속상하겠다.”","""진심 어린 사과를 하면 받아줄거야.”","""먼저 사과를 하면 이해해줄거야.”",,,,,,,,,,,,,,,,,,,
"""길 가다가 교통사고를 당했어.""","""정말 많이 놀랐겠어, 다친 곳은 없어?""","""조심 좀 하지 그랬어.""","""보험 처리하면 되잖아.""",상대방의 공포와 불안을 무시하는 것은 적절하지 않아. 사고 후의 충격과 공포를 이해하고 위로하는 것이 중요해. 감정을 공감하고 격려하는 말을 해주는 것이 좋아.,"""정말 힘들었겠다. 지금은 괜찮아?""","""큰일 날 뻔했네. 병원에는 갔어?""","""많이 놀랐겠어. 다친 데는 없어?""",,,,,,,,,,,,,,,,,,,
"""나 연인과 헤어졌어.""","""정말 마음이 아프겠다. 괜찮아?""","""다른 사람 만나면 되지 뭐.""","""원래 연애는 다 그런 거야.""",친구의 슬픔을 가볍게 여겨서는 안돼. 연인과의 이별은 감정적으로 힘든 상황이야. 상대방의 슬픔을 이해하고 공감하는 답을 하는 것이 좋아,"""많이 속상하겠어. 내가 옆에 있어줄게.""","""정말 마음이 아프겠다. 많이 힘들지?""","""시간이 지나면 조금 나아질 거야.""",,,,,,,,,,,,,,,,,,,
"""건강검진에서 안 좋은 결과가 나왔어.""","""많이 걱정되겠다. 어떤 도움이 필요해?""","""다들 한 번쯤은 그런 결과가 나와.""","""괜찮겠지, 대수롭지 않게 생각해""",건강검진에서 안 좋은 결과가 나오면 많이 불안하고 속상할 수 있어. 친구가 느끼는 감정은 불안과 슬픔이야. 따라서 친구의 감정을 이해하고 위로하는 말이 좋아.,"""정말 안타깝다.""","""시간이 지나면 나아질 거야.""","""괜찮을 거야, 너무 걱정하지마.""",,,,,,,,,,,,,,,,,,,
"""조별과제에서 실수했어.""","""많이 속상하겠다. 해결할 방법을 찾아보자.""","""더 잘하지 그랬어.""","""별거 아니야, 그냥 넘겨.""",조별과제에서 실수하면 많이 속상하고 자책할 수 있어. 친구가 느끼는 감정은 슬픔과 후회야. 따라서 친구의 감정을 이해하고 위로하는 말이 좋아.,"""시간이 지나면 나아질 거야.""","""마음이 많이 불편하겠다.""","""괜찮아, 누구나 실수할 수 있어. 다음엔 더 잘할 거야.""",,,,,,,,,,,,,,,,,,,
"""친구 생일 선물을 못 챙겼어.""","""친구 생일 선물을 못 챙겨서 정말 미안하겠다.""","""그게 뭐 대단해?""","""다른 선물도 많잖아.""",친구 생일 선물을 못 챙기면 많이 속상하고 자책할 수 있어. 친구가 느끼는 감정은 슬픔과 후회야. 따라서 친구의 감정을 이해하고 위로하는 말이 좋아.,"""다음에 꼭 챙겨주자. 괜찮아""","""다른 방법으로 마음을 전해봐.""","""너무 마음 쓰지 마. """,,,,,,,,,,,,,,,,,,,
"""오늘 아빠랑 싸웠어.""","""아빠랑 싸워서 정말 속상하겠다.""","""그냥 사과하면 되잖아""","""다들 부모님이랑 싸우곤 해.""",아빠와 싸우면 마음이 많이 아프고 속상할 수 있어. 친구가 느끼는 감정은 슬픔과 후회야. 따라서 친구의 감정을 이해하고 위로하는 말이 좋아.,"""속상하겠다. 너무 마음 쓰지 마.""","""마음이 많이 불편하겠다.""","""너무 자책하지마, 잘못 한 부분이 있으면 사과드리자""",,,,,,,,,,,,,,,,,,,
"""반에서 왕따 당하고 있어.""","""정말 힘들겠다. 내가 도울 수 있는 일이 있을까?""","""네가 뭔가 잘못한 거 아니야?"""," ""그냥 무시해, 시간이 지나면 괜찮아지겠지.""",반에서 왕따를 당하면 많이 속상하고 자책할 수 있어. 친구가 느끼는 감정은 슬픔과 좌절이야. 따라서 친구의 감정을 이해하고 위로하는 말이 좋아.,"""많이 힘들겠다. 필요한 게 있으면 언제든 말해줘.""","""혼자 감당하지 말고 이야기 나눠보자.""","""속상하겠다. 너 잘못 아니니까 자책하지마. """,,,,,,,,,,,,,,,,,,,
"""새로운 취미를 시작했어.""","""멋지다! 어떤 취미 시작했어?""","""그게 뭐 대단한거라고.""","""그 취미는 별로 안 좋을 것 같은데.""",새로운 취미를 시작하는 것은 흥미롭고 즐거운 일이야. 친구가 느끼는 감정은 기대와 즐거움이야. 따라서 그 즐거움을 함께 나누고 공감하는 말이 좋아.,"""우와, 재미있겠다! 자세히 이야기해 줄래?""","""새로운 도전을 시작하다니 정말 대단해! 어떤 걸 배우고 있어?""","""정말 멋지다! 나도 알려주라""",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
분노 짜증,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
보류,,,,,,,,,,,,,,,,,,,,,,,,,,
"""승진했어!""","""승진하다니 정말 축하해!""","""그게 뭐 대단해?""","""다른 사람들도 다 승진해.""",승진은 직장에서의 노력과 성취를 인정받는 일이야. 친구가 느끼는 감정은 자부심과 기쁨이야. 따라서 친구의 성취를 축하하고 격려하는 말이 좋아.,"""정말 축하해! 대단해!""","""너무 멋져! 자랑스러워!""","""정말 열심히 일했구나!""",,,,,,,,,,,,,,,,,,,
"""새 차를 샀어!""","""새 차 샀다니 정말 축하해!""","""차가 뭐가 중요해?""","""그 차 별로 안 좋아 보여.""",새 차를 사면 큰 기쁨과 성취감을 느낄 수 있어. 친구가 느끼는 감정은 행복과 만족감이야. 따라서 그 성취를 축하하고 공감하는 말이 좋아.,"""새 차 정말 멋지다!""","""정말 축하해! 멋진 차야!""","""정말 기쁘겠다!""",,,,,,,,,,,,,,,,,,,
"""새로운 직장을 구했어!""","""새 직장을 구하다니 정말 축하해!""","""그 직장이 뭐가 좋아?""","""다른 직장도 많잖아.""",새로운 직장을 구하는 것은 큰 성취와 기대를 가져올 수 있어. 친구가 느끼는 감정은 기쁨과 기대감이야. 따라서 그 성취를 축하하고 공감하는 말이 좋아.,"""새 직장 정말 축하해!""","""정말 멋져! 자랑스러워!""","""정말 열심히 했구나!""",,,,,,,,,,,,,,,,,,,
"""동아리 면접에서 떨어졌어.""","""많이 아쉽겠다. 다음에는 더 좋은 기회가 올 거야.""","""준비를 더 잘하지 그랬어.""","""별로 중요한 면접도 아니었잖아.""",중요한 면접에서 떨어지면 많이 속상하고 자책할 수 있어. 친구가 느끼는 감정은 슬픔과 좌절이야. 따라서 친구의 감정을 이해하고 위로하는 말이 좋아.,"""정말 속상하겠다.""","""다음에는 더 잘할 수 있을 거야.""","""누구나 실수할 수 있어.""",,,,,,,,,,,,,,,,,,,
"""오늘 새로운 직장에서 해고됐어.""","""정말 힘들겠다. 나랑 이야기 좀 할래?""","""더 잘하지 그랬어.""","""원래 첫 직장은 다 그런 거야.""",새로운 직장에서 해고되면 많이 속상하고 자책할 수 있어. 친구가 느끼는 감정은 슬픔과 좌절이야. 따라서 친구의 감정을 이해하고 위로하는 말이 좋아.,"""정말 힘들겠구나.""","""너에겐 좋은 친구들이 있어.""","""내가 곁에 있어 줄게.""",,,,,,,,,,,,,,,,,,,
